title,subtitle,authors,categories,average_rating,num_pages,ratings_count,published_year,combined_features
Heat Wave,A Social Autopsy of Disaster in Chicago,Eric Klinenberg,History,3.84,320.0,674.0,2003.0,"Heat WaveA Social Autopsy of Disaster in ChicagoEric KlinenbergHistoryWhy heat waves are such a quiet menace and how social conditions contributed to more than 700 deaths during a week-long wave of unprecedented heat and humidity in Chicago in 1995 are the focus of ""Heat Wave"" written by sociologist Klinenberg. Illustrations. Maps."
Moral Politics,"How Liberals and Conservatives Think, Second Edition",George Lakoff,Language Arts & Disciplines,4.03,471.0,1215.0,2002.0,"Moral PoliticsHow Liberals and Conservatives Think, Second EditionGeorge LakoffLanguage Arts & DisciplinesIn this classic text, Lakoff analyses the unconscious and rhetorical worldviews of liberals and conservatives, discovering radically different but remarkably consistent conceptions of morality."
A Dance to the Music of Time,First Movement,Anthony Powell,Fiction,3.95,718.0,3680.0,1995.0,"A Dance to the Music of TimeFirst MovementAnthony PowellFiction""Movement 2. The rumble of distant events in Germany and Spain presages the storm of WWII. In England, even as the whirl of marriages and adulteries, fashions and frivolities, personal triumphs and failures gathers speed, men and women find themselves on the brink of fateful choices."
The Family Idiot,"Gustave Flaubert, 1821-1857",Jean-Paul Sartre,Biography & Autobiography,3.8,632.0,5.0,1981.0,"The Family IdiotGustave Flaubert, 1821-1857Jean-Paul SartreBiography & AutobiographyWith this volume, the University of Chicago Press completes its translation of a work that is indispensable not only to serious readers of Flaubert but to anyone interested in the last major contribution by one of the twentieth century's greatest thinkers. That Sartre's study of Flaubert, The Family Idiot, is a towering achievement in intellectual history has never been disputed. Yet critics have argued about the precise nature of this novel or biography or ""criticism-fiction"" which is the summation of Sartre's philosophical, social, and literary thought. In the preface, Sartre writes: ""The Family Idiot is the sequel to Search for a Method. The subject: what, at this point in time, can we know about a man? It seemed to me that this question could only be answered by studying a specific case."" Sartre discusses Flaubert's personal development, his relationship to his family, his decision to become a writer, and the psychosomatic crisis or ""conversion"" from his father's domination to the freedom of his art. Sartre blends psychoanalysis with a sociological study of the ideology of the period, the crisis in literature, and Flaubert's influence on the future of literature. While Sartre never wrote the final volume he envisioned for this vast project, the existing volumes constitute in themselves a unified work—one that John Sturrock, writing in the Observer, called ""a shatteringly fertile, digressive and ruthless interpretation of these few cardinal years in Flaubert's life."" ""A virtuoso perfomance. . . . For all that this book does to make one reconsider his life, The Family Idiot is less a case study of Flaubert than it is a final installment of Sartre's mythology. . . . The translator, Carol Cosman, has acquitted herself brilliantly.""—Frederick Brown, New York Review of Books ""A splendid translation by Carol Cosman. . . . Sartre called The Family Idiot a 'true novel,' and it does tell a story and eventually reach a shattering climax. The work can be described most simply as a dialectic, which shifts between two seemingly alternative interpretations of Flaubert's destiny: a psychoanalytic one, centered on his family and on his childhood, and a Marxist one, whose guiding themes are the status of the artist in Flaubert's period and the historical and ideological contradictions faced by his social class, the bourgeoisie.""—Fredric Jameson, New York Times Book Review Jean-Paul Sartre (1906-1980) was offered, but declined, the Nobel Prize for literature in 1964. His many works of fiction, drama, and philosophy include the monumental study of Flaubert, The Family Idiot, and The Freud Scenario, both published in translation by the University of Chicago Press."
From Counterculture to Cyberculture,"Stewart Brand, the Whole Earth Network, and the Rise of Digital Utopianism",Fred Turner,Social Science,3.96,327.0,323.0,2006.0,"From Counterculture to CybercultureStewart Brand, the Whole Earth Network, and the Rise of Digital UtopianismFred TurnerSocial ScienceIn the early 1960s, computers haunted the American popular imagination. Bleak tools of the cold war, they embodied the rigid organization and mechanical conformity that made the military-industrial complex possible. But by the 1990s—and the dawn of the Internet—computers started to represent a very different kind of world: a collaborative and digital utopia modeled on the communal ideals of the hippies who so vehemently rebelled against the cold war establishment in the first place. From Counterculture to Cyberculture is the first book to explore this extraordinary and ironic transformation. Fred Turner here traces the previously untold story of a highly influential group of San Francisco Bay–area entrepreneurs: Stewart Brand and the Whole Earth network. Between 1968 and 1998, via such familiar venues as the National Book Award–winning Whole Earth Catalog, the computer conferencing system known as WELL, and, ultimately, the launch of the wildly successful Wired magazine, Brand and his colleagues brokered a long-running collaboration between San Francisco flower power and the emerging technological hub of Silicon Valley. Thanks to their vision, counterculturalists and technologists alike joined together to reimagine computers as tools for personal liberation, the building of virtual and decidedly alternative communities, and the exploration of bold new social frontiers. Shedding new light on how our networked culture came to be, this fascinating book reminds us that the distance between the Grateful Dead and Google, between Ken Kesey and the computer itself, is not as great as we might think."
Poems Between Women,"Four Centuries of Love, Romantic Friendship, and Desire",Emma Donoghue,Poetry,3.86,256.0,66.0,1999.0,"Poems Between WomenFour Centuries of Love, Romantic Friendship, and DesireEmma DonoghuePoetryThe collection Poems Between Women explores many facets of female-female relationships in poems not only about love or affection between or inspired by women but also about the moments that complicate and call into question the nature of sexuality and intimacy between women. Including women married and single, young and old, lesbian, bisexual, and heterosexual, the anthology covers historical development and changing mores through the seventeenth century, after the Restoration of Charles II, a time of relative freedom for women; the eighteenth century, when the cult of romantic friendship reached its peak; the nineteenth century, when women writers wrote about issues of same-sex desire indirectly and explored complex issues such as death in tones of weariness and resignation; and the twentieth century, when poets began to engage in more overt explorations of women's bodies, sensuality, and lovemaking. Emma Donoghue's introduction deftly guides readers into the rich tradition of women's poetry in English, exploring the relationships between poets and their muses and poets and their cultures. Poems Between Women is testimony not only to the recurring theme of the unique bonds among women but also to the universality of love, friendship, and creativity."
Antigone's Claim,Kinship Between Life and Death,Judith Butler,Philosophy,3.76,118.0,406.0,2002.0,"Antigone's ClaimKinship Between Life and DeathJudith ButlerPhilosophyWhy do smokers claim that the first cigarette of the day is the best? What is the biological basis behind some heavy drinkers' belief that the ""hair-of-the-dog"" method alleviates the effects of a hangover? Why does marijuana seem to affect ones problem-solving capacity? Intoxicating Minds is, in the author's words, ""a grand excavation of drug myth."" Neither extolling nor condemning drug use, it is a story of scientific and artistic achievement, war and greed, empires and religions, and lessons for the future. Ciaran Regan looks at each class of drugs, describing the historical evolution of their use, explaining how they work within the brain's neurophysiology, and outlining the basic pharmacology of those substances. From a consideration of the effect of stimulants, such as caffeine and nicotine, and the reasons and consequences of their sudden popularity in the seventeenth century, the book moves to a discussion of more modern stimulants, such as cocaine and ecstasy. In addition, Regan explains how we process memory, the nature of thought disorders, and therapies for treating depression and schizophrenia. Regan then considers psychedelic drugs and their perceived mystical properties and traces the history of placebos to ancient civilizations. Finally, Intoxicating Minds considers the physical consequences of our co-evolution with drugs -- how they have altered our very being -- and offers a glimpse of the brave new world of drug therapies."
An Arab-Syrian Gentleman and Warrior in the Period of the Crusades,Memoirs of Usāmah Ibn-Munqidh (Kitāb Al-Iʻtibār) ; Translated from the Original Manuscript by Philip K. Hitti ; with a New Foreword by Richard W. Bulliet,Usāmah ibn Munqidh;Philip Khuri Hitti,History,3.92,265.0,66.0,2000.0,"An Arab-Syrian Gentleman and Warrior in the Period of the CrusadesMemoirs of Usāmah Ibn-Munqidh (Kitāb Al-Iʻtibār) ; Translated from the Original Manuscript by Philip K. Hitti ; with a New Foreword by Richard W. BullietUsāmah ibn Munqidh;Philip Khuri HittiHistoryThe life of Us?mah ibn-Munqidh epitomizes the height of Arab civilization during the early Crusading period. These memoirs--which represent a rare first-hand account of medieval European manners, morals, politics, and medicine written by a non-European--offers new perspective and insight into an important point of military and cultural contact between the East and West. In his introduction, translator Philip Hitti writes, ""Ancient Arabic literature has preserved for us other biographies, memoirs, and reminiscences by great men, but there is hardly anything superior to this one in its simplicity of narrative, dignity, and wealth of contents and general human interest."
William Faulkner,The Sound and the Fury ; As I Lay Dying,Nicolas Tredell,Literary Criticism,3.96,192.0,4.0,1999.0,"William FaulknerThe Sound and the Fury ; As I Lay DyingNicolas TredellLiterary CriticismThis book explores the puzzling phenomenon of new veiling practices among lower middle class women in Cairo, Egypt. Although these women are part of a modernizing middle class, they also voluntarily adopt a traditional symbol of female subordination. How can this paradox be explained? An explanation emerges which reconceptualizes what appears to be reactionary behavior as a new style of political struggle--as accommodating protest. These women, most of them clerical workers in the large government bureaucracy, are ambivalent about working outside the home, considering it a change which brings new burdens as well as some important benefits. At the same time they realize that leaving home and family is creating an intolerable situation of the erosion of their social status and the loss of their traditional identity. The new veiling expresses women's protest against this. MacLeod argues that the symbolism of the new veiling emerges from this tense subcultural dilemma, involving elements of both resistance and acquiescence."
More Than You Know,Finding Financial Wisdom in Unconventional Places,Michael J. Mauboussin,Business & Economics,4.08,268.0,1238.0,2006.0,"More Than You KnowFinding Financial Wisdom in Unconventional PlacesMichael J. MauboussinBusiness & EconomicsMauboussin mines disciplines that are not normally associated with finance such as biology, physics, and psychology to help investors make better decisions and to argue for a new model of investment philosophy."
Avid Editing,A Guide for Beginning and Intermediate Users,Sam Kauffmann,Performing Arts,3.83,414.0,5.0,2003.0,"Avid EditingA Guide for Beginning and Intermediate UsersSam KauffmannPerforming ArtsThis text is for beginning to intermediate users of Avid Xpress, Xpress DV, or Media Composer. These digital editing systems offer a tremendous number of tools that open up myriad creative possibilities for the film and videomaker, but are as a result difficult to master. The chapters guide readers through an editing project, while the accompanying DVD provides narrative footage to download for immediate, hands-on practice. The book can be read and studied at home, or while sitting in front of an Avid, following the book's step-by-step instructions. The new edition is updated to reflect the latest versions of Avid software, including an emphasis on the Xpress DV for Mac and Windows. There is also new material on Script Integration, a powerful tool now available on almost all of Avid's products, and a new chapter on how Avid can help the reader create material for current and future widescreen television formats. A beginning text designed for anyone new to the Avid Complete step-by-step instructions assume no prior knowledge Companion DVD contains footage from a narrative scene, so students can begin editing immediately"
Zora Neale Hurston,A Literary Biography,Robert E. Hemenway,Biography & Autobiography,4.11,408.0,100.0,1980.0,"Zora Neale HurstonA Literary BiographyRobert E. HemenwayBiography & AutobiographyReconstructs the events, relationships, and achievements that marked the life of the black novelist, folklorist, and anthropologist, assessing her important works and commitment to the black folk tradition"
Dante's Vita Nuova,A Translation and an Essay,Alighieri Dante;Dante Alighieri,Literary Criticism,3.87,210.0,59.0,1973.0,"Dante's Vita NuovaA Translation and an EssayAlighieri Dante;Dante AlighieriLiterary Criticism""A fresh, new version of a 1962 translation that has had enormous popularity in comparative literature classes. The Vita Nuova (the New Life) is a small book which relates in prose and often very beautiful verse the story of the youthful Dante's love for Beatrice. The esay which follows the translation provides new insights into this puzzling thirteenth-century work. Musa regards Dante's intention in this so-called ""Book of Memory"" as a cruel and comic commentary on the youthful lover. He argues that Dante, using the tradition of love poetry current in his time, points up the foolishness and shallowness of his protagonist, a self-centered and self-pitying youth who only occasionally in the progress of his suffering catches even a glimpse of the true nature of Love or his beloved. ""The sensitive man who would realize a man's destiny must ruthlessly cut out of his heart the canker at its center [i.e. self-pity], the canker that the heart instinctively tends to cultivate."" According to Musa, this is one of Dante's central ideas. Dante scholars, libraries, and students of the Italian classics will welcome this distinguished translation and its provocative commentary""--Back cover."
The Role of the Reader,Explorations in the Semiotics of Texts,Umberto Eco,Literary Criticism,3.94,288.0,220.0,1984.0,"The Role of the ReaderExplorations in the Semiotics of TextsUmberto EcoLiterary Criticism""... not merely interesting and novel, but also exceedingly provocative and heuristically fertile."" —The Review of Metaphysics ""... essential reading for anyone interesting in... the new reader-centered forms of criticism."" —Library Journal In this erudite and imaginative book, Umberto Eco sets forth a dialectic between 'open' and 'closed' texts."
Dante's Inferno,The Indiana Critical Edition,Dante (Alighieri);Dante Alighieri,Poetry,4.0,432.0,44.0,1995.0,"Dante's InfernoThe Indiana Critical EditionDante (Alighieri);Dante AlighieriPoetryPresents a verse translation of Dante's ""Inferno"" along with ten essays that analyze the different interpretations of the first canticle of the ""Divine Comedy."""
The Treason of Isengard,"The History of the Lord of the Rings, Part Two",John Ronald Reuel Tolkien;Christopher Tolkien,English fiction,4.16,465.0,93.0,2002.0,"The Treason of IsengardThe History of the Lord of the Rings, Part TwoJohn Ronald Reuel Tolkien;Christopher TolkienEnglish fictionFantasy-roman."
The Monsters and the Critics,And Other Essays,John Ronald Reuel Tolkien,Beowulf,3.93,240.0,3375.0,1997.0,The Monsters and the CriticsAnd Other EssaysJohn Ronald Reuel TolkienBeowulfA collection of seven essays by J.R.R. Tolkien arising out of Tolkien's work in medieval literature
Elbow Room,The Varieties of Free Will Worth Wanting,Daniel Clement Dennett,Philosophy,3.92,200.0,474.0,1984.0,"Elbow RoomThe Varieties of Free Will Worth WantingDaniel Clement DennettPhilosophyEssays discuss reason, self-control, self-definition, time, cause and effect, accidents, and responsibility, and explain why people want free will"
"Turtles, Termites, and Traffic Jams",Explorations in Massively Parallel Microworlds,Mitchel Resnick,Computers,3.85,184.0,126.0,1997.0,"Turtles, Termites, and Traffic JamsExplorations in Massively Parallel MicroworldsMitchel ResnickComputers""A Bradford book."" Includes bibliographical references (p. [157]-163)."
Looking Awry,An Introduction to Jacques Lacan Through Popular Culture,Slavoj Žižek,Performing Arts,4.05,188.0,1276.0,1992.0,"Looking AwryAn Introduction to Jacques Lacan Through Popular CultureSlavoj ŽižekPerforming ArtsSlavoj Zizek, a leading intellectual in the new social movements that are sweepingEastern Europe, provides a virtuoso reading of Jacques Lacan. Zizek inverts current pedagogicalstrategies to explain the difficult philosophical underpinnings of the French theoretician andpractician who revolutionized our view of psychoanalysis. He approaches Lacan through the motifs andworks of contemporary popular culture, from Hitchcock's Vertigo to Stephen King's Pet Sematary, fromMcCullough's An Indecent Obsession to Romero's Return of the Living Dead - a strategy of ""lookingawry"" that recalls the exhilarating and vital experience of Lacan.Zizek discovers fundamentalLacanian categories the triad Imaginary/Symbolic/Real, the object small a, the opposition of driveand desire, the split subject - at work in horror fiction, in detective thrillers, in romances, inthe mass media's perception of ecological crisis, and, above all, in Alfred Hitchcock's films. Theplayfulness of Zizek's text, however, is entirely different from that associated with thedeconstructive approach made famous by Derrida. By clarifying what Lacan is saying as well as whathe is not saying, Zizek is uniquely able to distinguish Lacan from the poststructuralists who sooften claim him.Slavoj Zizek is a Researcher in the Institute of Sociology at the University ofLjubljana, Yugoslavia. His work has been published in France and in Yugoslavia where, running as aproreform candidate, he narrowly missed being elected to the presidency of the republic ofSlovenia."
The Puppet and the Dwarf,The Perverse Core of Christianity,Slavoj Žižek;Žižek;Stockholm Inst Of Transition Staff;Mladen Dolar;Alenka Zupancic,Philosophy,3.83,196.0,617.0,2003.0,"The Puppet and the DwarfThe Perverse Core of ChristianitySlavoj Žižek;Žižek;Stockholm Inst Of Transition Staff;Mladen Dolar;Alenka ZupancicPhilosophyOne of our most daring intellectuals offers a Lacanian interpretation of religion, finding that early Christianity was the first revolutionary collective. Slavoj Zizek has been called ""an academic rock star"" and ""the wild man of theory""; his writing mixes astonishing erudition and references to pop culture in order to dissect current intellectual pieties. In The Puppet and the Dwarf he offers a close reading of today's religious constellation from the viewpoint of Lacanian psychoanalysis. He critically confronts both predominant versions of today's spirituality--New Age gnosticism and deconstructionist-Levinasian Judaism--and then tries to redeem the ""materialist"" kernel of Christianity. His reading of Christianity is explicitly political, discerning in the Pauline community of believers the first version of a revolutionary collective. Since today even advocates of Enlightenment like Jurgen Habermas acknowledge that a religious vision is needed to ground our ethical and political stance in a ""postsecular"" age, this book--with a stance that is clearly materialist and at the same time indebted to the core of the Christian legacy--is certain to stir controversy."
Marketing and the Bottom Line,The Marketing Metrics to Pump Up Cash Flow,Tim Ambler,Business & Economics,3.82,336.0,17.0,2003.0,"Marketing and the Bottom LineThe Marketing Metrics to Pump Up Cash FlowTim AmblerBusiness & EconomicsMarketing and the bottom line sets out to change this. Based an extensive and original research involving world-beating companies such as 3M, Accenture, British Airways, Diageo and McDonald's, this book analyzes the impact that marketing has on the financial well-being of a company. Viewing marketing as a strategic board-level function, Ambler sets out a new generation of marketing metrics designed to make marketing more accountable for what it does, what it spends and what it earns."
"Traders, Guns & Money",Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,Business & Economics,3.83,334.0,1398.0,2006.0,"Traders, Guns & MoneyKnowns and Unknowns in the Dazzling World of DerivativesSatyajit DasBusiness & EconomicsDerivatives. Warren Buffett once called them 'financial weapons of mass destruction.' Unlike some WMDs, however, derivatives are easy to find: nowadays, thousands of companies use them to make money and protect against risk. But most derivatives buyers simply don't understand what they're dealing with and sellers are in no rush to enlighten them. This book will! Traders, Guns and Money is a sensational first-person expose of the derivatives business, straight from one of the industry's most widely-known experts. Satyajit Das has operated for decades on both the ""buy"" and ""sell"" side, and authored some of the field's leading references. Now, he's written the first no-holds-barred insider's guide To The real derivatives business."
The Heights of Courage,A Tank Leader's War on the Golan,Avigdor Kahalani,History,4.18,234.0,97.0,1992.0,"The Heights of CourageA Tank Leader's War on the GolanAvigdor KahalaniHistoryIn October 1973, the State of Israel was invaded by Egyptian and Syrian forces. Despite early losses, Israel managed to outfight its opponents. The brief and bloody Yom Kippur War stands as a unique chapter in modern military history. Fought primarily by tank units, the war became a story not only of battle strategy and tactics, but also one of human discipline, endurance and sacrifice. Avigdor Kahalani was commander of a tank battalion on the Golan Heights during the Yom Kippur War, in The Heights of Courage he describes this experience. Beginning with a description of the initial Syrian offensive, the author recounts the personal endeavours of the men in his battalion, their fears and ambitions, as well as their emotional and physical hardships. His account traces the efforts of the Israel Armoured Corps as they struggled to overcome extreme difficulties and setbacks in the field, and he describes their ultimate penetration into enemy territory."
C. S. Lewis,"Life, Works, and Legacy",Bruce L. Edwards,Literary Criticism,4.43,1416.0,6.0,2007.0,"C. S. LewisLife, Works, and LegacyBruce L. EdwardsLiterary CriticismExamines the life and works of the British author and scholar, best known for his creation of ""The Chronicles of Narnia"" series."
The Lost World of Agharti,The Mystery of Vril Power,Alec Maclellan,"Body, Mind & Spirit",3.79,232.0,23.0,1996.0,"The Lost World of AghartiThe Mystery of Vril PowerAlec MaclellanBody, Mind & SpiritFor centuries, into our time, people have sought to discover the truth of the ancient legend of a hidden subterranean kingdom linked to every continent by a vast network of tunnels and passageways. The people who inhabit this utopia are said to have lived in seclusion for untold aeons, guarding the secret Vril Power by which man and nature can be controlled. This remarkable book records the findings of the many explorers who have sought to learn the truth and attempts to trace the course of the tunnels leading to Agharti."
Zero,The Biography of a Dangerous Idea,Charles Seife,Zero (The number),3.96,248.0,116.0,2003.0,"ZeroThe Biography of a Dangerous IdeaCharles SeifeZero (The number)A NEW YORK TIMES NOTABLE BOOKThe Babylonians invented it, the Greeks banned it, the Hindus worshipped it, and the Christian Church used it to fend off heretics. Today it's a timebomb ticking in the heart of astrophysics. For zero, infinity's twin, is not like other numbers. It is both nothing and everything.Zero has pitted East against West and faith against reason, and its intransigence persists in the dark core of a black hole and the brilliant flash of the Big Bang. Today, zero lies at the heart of one of the biggest scientific controversies of all time: the quest for a theory of everything. Within the concept of zero lies a philosophical and scientific history of humanity.Charles Seife's elegant and witty account takes us from Aristotle to superstring theory by way of Egyptian geometry, Kabbalism, Einstein, the Chandrasekhar limit and Stephen Hawking. Covering centuries of thought, it is a concise tour of a world of ideas, bound up in the simple notion of nothing."
100 Love Sonnets,Cien sonetos de amor,Pablo Neruda,Poetry,4.4,232.0,12284.0,1986.0,100 Love SonnetsCien sonetos de amorPablo NerudaPoetryPoems explore the depths of the distinguished Chilean writer's love for his wife
Long Day's Journey,The Steamboat & Stagecoach Era in the Northern West,Carlos A. Schwantes,History,4.0,408.0,4.0,1999.0,"Long Day's JourneyThe Steamboat & Stagecoach Era in the Northern WestCarlos A. SchwantesHistorySchwantes gathers historical photos, advertisements, posters, and contemporary accounts to recreate one of the most colorful periods in the American West. 255 illustrations, 40 in color."
Philip Vera Cruz,A Personal History of Filipino Immigrants and the Farmworkers Movement,Craig Scharlin;Lilia V Villanueva,Biography & Autobiography,3.87,208.0,45.0,2000.0,Philip Vera CruzA Personal History of Filipino Immigrants and the Farmworkers MovementCraig Scharlin;Lilia V VillanuevaBiography & AutobiographyA lost chapter of both California labor history and the Asian American experience are eloquently brought to light in Philip Vera Cruz’s oral memoir. This account of an exceptional leader explores the unacknowledged role of Filipino laborers in the creation of the United Farm Workers union.
Mark Twain's Own Autobiography,The Chapters from the North American Review,Mark Twain,"Authors, American",3.83,301.0,9.0,1990.0,"Mark Twain's Own AutobiographyThe Chapters from the North American ReviewMark TwainAuthors, AmericanFifteen studies are grouped into three closely related themes identified as 1) textual construction of the professions--the ways in which texts help shape professional perspectives of human experience; 2) the dynamics of discourse communities--the discursive process as a means of enrolling outsiders into an insider's views and commitments; and 3) the dynamics of how texts, originating within specialized discourse communities, can profoundly influence a wide range of social activities. Paper edition (unseen), $15.75. Annotation copyrighted by Book News, Inc., Portland, OR"
The Poems of Alexander Pope,A One-volume Edition of the Twickenham Text with Selected Annotations,Alexander Pope,Poetry,3.95,880.0,158.0,1963.0,"The Poems of Alexander PopeA One-volume Edition of the Twickenham Text with Selected AnnotationsAlexander PopePoetryA splendid presentation of Pope’s poems, excluding only his translations of Homer, this is the only one-volume edition that can lay claim to completeness and accuracy of text. It presents the corpus of Pope’s poetry as printed in the highly praised Twickenham Edition, except for the 1712 version of The Rape of the Lock and other early versions of phrases preserved in the critical apparatus of the six-volume work. Pope’s own notes to his poems are included, as well as a generous selection of the copious annotation in the Twickenham text. This reduced version of the unsurpassed standard edition of Pope will be of great value to all students and teachers of English literature. John Butt, Regius Professor of Rhetoric and English Literature at Edinburgh University, is general editor of the Twickenham Edition. ""The publishers are surely right in claiming that 'this should for long remain the standard one-volume edition of Pope's poems.' The Twichenham edition . . . has been a splendid achievement, and Professor Butt's distillation of the long labours of his fellow-editors is most commendable.""—Times Literary Supplement."
The Shaping of America: A Geographical Perspective on 500 Years of History,"Volume 2: Continental America, 1800–1867",D. W. Meinig,History,4.15,636.0,25.0,1986.0,"The Shaping of America: A Geographical Perspective on 500 Years of HistoryVolume 2: Continental America, 1800–1867D. W. MeinigHistoryV.1. Atlantic America, 1492-1800, V.2. Continental America, 1800-1967."
Seeing Like a State,How Certain Schemes to Improve the Human Condition Have Failed,James C. Scott,Political Science,4.19,445.0,2316.0,1998.0,Seeing Like a StateHow Certain Schemes to Improve the Human Condition Have FailedJames C. ScottPolitical ScienceScott analyzes failed cases of large-scale authoritarian plans in a variety of fields.
Leonardo on Painting,"An Anthology of Writings by Leonardo Da Vinci, with a Selection of Documents Relating to His Career as an Artist",Leonardo,Art,4.13,336.0,115.0,2001.0,"Leonardo on PaintingAn Anthology of Writings by Leonardo Da Vinci, with a Selection of Documents Relating to His Career as an ArtistLeonardoArtThis is a selection of Leonardo da Vinci's writings on painting. Martin Kemp and Margaret Walker have edited material not only from his so-called Treatise on Painting but also from his surviving manuscripts and from other primary sources."
Dreaming in Pictures,The Photography of Lewis Carroll,Douglas Robert Nickel;Lewis Carroll;San Francisco Museum of Modern Art,Photography,4.01,172.0,105.0,2002.0,"Dreaming in PicturesThe Photography of Lewis CarrollDouglas Robert Nickel;Lewis Carroll;San Francisco Museum of Modern ArtPhotography""Lewis Carroll was the pen name of the Reverend Charles Lutwidge Dodgson, the author of Alice's Adventures in Wonderland and other beloved children's books. But before achieving fame as an author, Dodgson was a prolific and sophisticated photographer, acutely engaged in the art world of Victorian England. This beautifully illustrated book is the first to examine Dodgson's photographs not as the sideline of a celebrated writer, but as the creations of a serious photographic artist - and to demonstrate their importance to the history of photography."" ""Dreaming in Pictures: The Photography of Lewis Carroll is published in conjunction with an exhibition organized by the San Francisco Museum of Modern Art and traveling to the Museum of Fine Arts, Houston, the International Center for Photography in New York, and the Art Institute of Chicago.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved"
Marcel Proust,A Life,William C. Carter,Biography & Autobiography,4.32,992.0,13.0,2002.0,"Marcel ProustA LifeWilliam C. CarterBiography & AutobiographyThis book is a magisterial account of the life and times of Marcel Proust. Based on a host of recently available letters, memoirs, and manuscripts, it sheds new light on Proust's character, his development as an artist, and his masterpiece ""In Search of Lost Time"" (long known in English as ""Remembrance of Things Past""). 47 illustrations."
How Democratic is the American Constitution?,Second Edition,Robert A. Dahl,History,3.64,240.0,436.0,2003.0,"How Democratic is the American Constitution?Second EditionRobert A. DahlHistoryThe author argues that certain aspects of the American Constitution are deeply flawed and detract from a purely democratic society and includes discussions on the electoral college, the Federalist Papers, and proportional representation."
The Voices of Morebath,Reformation and Rebellion in an English Village,Eamon Duffy,History,3.7,232.0,344.0,2003.0,The Voices of MorebathReformation and Rebellion in an English VillageEamon DuffyHistory- Winner of the Hawthornden Prize for Literature.
Cuba,A New History,Richard Gott,History,4.06,384.0,275.0,2005.0,"CubaA New HistoryRichard GottHistoryA thorough examination of the history of the controversial island country looks at little-known aspects of its past, from its pre-Columbian origins to the fate of its native peoples, complete with up-to-date information on Cuba's place in a post-Soviet world."
Hannibal,Enemy Of Rome,Leonard Cottrell,History,3.89,248.0,128.0,1992.0,"HannibalEnemy Of RomeLeonard CottrellHistoryIn the year 216 B.C., Hannibal of Carthage, faced with an opposing Roman army twice the size of his own, outwitted the enemy at Cannae by means of a strategy which has become a classic of its kind. As a result of his famous ”double pincer” maneuver, 70,000 Roman soldiers died within the space of a few hours on a field the size of New York's Central Park. Yet, as devastating and startling as Cannae was, it was only one of a long list of incredible achievements. Hannibal's fantastic 1,000-mile march across the Alps from Spain to Italy was one of the wonders of ancient times. He began his hazardous journey with 90,000 infantry, 12,000 cavalry, and 37 elephants. By the time he reached the Valley of the Po, more than 30,000 troops and many of his elephants had perished, but he still managed to stay in Italy for sixteen years.Blending biography and military adventure, Hannibal is a portrait of a military genius who was also a highly civilized man. The son of Hamilcar Barca, a famous general in his own right, Hannibal was a student of the Greek classics. But his father's lifelong grudge against Rome fostered in the son a deep hatred for that Republic and a fierce determination to subdue it forever. This resulted in the bloody battles of Lake Trasimene, Campania, Nole, Capua, and Zama, all of which Leonard Cottrell describes with vigor and authority. In gathering material for Hannibal, Cottrell traveled the entire route that Hannibal took across the Alps, thus bringing to his account a valuable firsthand knowledge of his subject. With the drama and authenticity for which he is famous, Leonard Cottrell describes Hannibal's amazing campaign—a saga of victory after victory which fell just short of its ultimate goal: the annihilation of Rome."
The Collapse of the Third Republic,An Inquiry Into the Fall of France in 1940,William Lawrence Shirer,History,4.2,1082.0,497.0,1994.0,"The Collapse of the Third RepublicAn Inquiry Into the Fall of France in 1940William Lawrence ShirerHistoryOn June 17, 1940 William L. Shirer stood in the streets of Paris and watched the unending flow of gray German uniforms along its boulevards. In just six lovely weeks in the spring and summer of 1940 a single battle brought down in total military defeat one of the world's oldest, greatest, and most civilized powers—the second mightiest empire on earth and the possessor of one of the finest military machines ever assembled. How did it happen? After nearly a decade of research in the massive archives left from World War II and after hundreds of conversations with the Third Republic’s leaders, generals, diplomats, and ordinary citizens, Shirer presents the definitive answer in his stunning re-creation of why and how France fell before Hitler's armies in 1940. His book is also a devastating examination of the confusion, corruption, and cynicism that drained the strength and toughness of a democracy which Thomas Jefferson once called ""every man's second country."" This book complements and completes the dramatic story of The Rise and Fall of the Third Reich and continues to rank as one of the most important works of history of our time."
The Complete Short Stories Of Robert Louis Stevenson,With A Selection Of The Best Short Novels,Charles Neider;Robert Louis Stevenson,Literary Collections,4.19,720.0,51.0,1998.0,"The Complete Short Stories Of Robert Louis StevensonWith A Selection Of The Best Short NovelsCharles Neider;Robert Louis StevensonLiterary CollectionsScottish novelist, poet, and essayist Robert Louis Stevenson (1850–1894) was a writer of power and originality, who penned such classics as Treasure Island, Kidnapped, and The Weir of Hermiston. The editor has collected in convenient form Stevenson's short fiction, including the complete New Arabian Nights and The Strange Case of Dr. Jekyll and Mr. Hyde, as well as ghost stories, medieval romances, farces, horror stories, and the South Sea Tales. This volume amply illustrates Stephenson's wide range and enduring appeal."
